objID,ra,dec,rings,catalog,z
1237648704047546379,200.094446883384,-0.402114728395443,ring,moiseev,0
1237651274029531465,116.816089307269,43.5846364631262,nan,moiseev,0
1237651505956061389,208.164068656788,1.10252312376223,strong,moiseev,0.07153724
1237651538186207377,234.508119243593,56.7060568382977,candidat,moiseev,0
1237651715334537232,247.994678769904,48.2896040113076,candidat,moiseev,0.0873822
1237651736304681016,204.769101931759,2.16376677781171,strong,moiseev,0.02336924
1237651752925397229,154.503066071256,1.35452921047233,visual,moiseev,0
1237651753488679135,214.826870506653,1.84696936147433,nan,moiseev,0
1237654030326693925,167.227039397301,2.67737446141178,strong,moiseev,0.03564185
1237654390566748264,121.272401943516,40.1745699606729,ring,moiseev,0
1237654400227803272,173.807023015189,65.0282666321879,nan,moiseev,0
1237654605324157077,156.501691913255,4.2424831500151,candidat,moiseev,0
1237654606942896535,175.022933486969,6.07881301761355,candidat,moiseev,0
1237654610682642570,205.019852806181,64.0505629125026,ring,moiseev,0
1237655106764538026,172.580462395928,58.2779442630016,ring,moiseev,0
1237655107828908189,138.723562829954,49.6399785444392,candidat,moiseev,0
1237655499737006317,200.99487863181,-1.76463121955096,merging,moiseev,0
1237656494038057056,355.638404737958,13.5570763677679,nan,moiseev,0
1237656568648696286,312.023605953702,0.0688494244489436,strong,moiseev,0.02469175
1237657118404903342,118.143088037957,29.3471620846771,strong,moiseev,0.06006645
1237657775540797636,129.905474052187,37.2639704448912,nan,moiseev,0
1237657878073836116,113.337746780488,20.3534539274729,visual,moiseev,0
1237658493881680054,160.812766868424,10.0349973730397,ring,moiseev,0
1237661068718964941,167.705359490349,13.6094597856424,ring,moiseev,0
1237661358611824789,163.75392552314,46.513480865342,candidat,moiseev,0
1237661384383201420,145.530610776091,36.4047918268271,candidat,moiseev,0
1237661435923267730,199.682314151708,47.7194022725047,candidat,moiseev,0
1237661464376901800,238.150407470021,33.1937447078732,candidat,moiseev,0
1237661851459518589,154.322906786482,41.0993630296559,candidat,moiseev,0
1237661873494360314,234.080317852179,33.7743509497526,candidat,moiseev,0
1237661874017861702,197.070519032448,45.3764365577933,good,moiseev,0.0293298
1237661959908294688,212.380901494998,50.1381314911471,ring,moiseev,0
1237661967435104411,200.22619523822,41.5931877198315,ring,moiseev,0
1237661971721027749,181.802861681697,7.66235750645712,candidat,moiseev,0
1237662224074539140,205.395133119534,37.4404945130659,candidat,moiseev,0
1237662307266330884,223.509354271684,36.2948429384837,candidat,moiseev,0
1237664104704835829,149.916227397268,11.4063068056282,candidat,moiseev,0
1237664106852319429,149.686072153311,12.989106362511,candidat,moiseev,0
1237665025438843098,176.303947452146,35.0862434283359,good,moiseev,0.06729618
1237665442596782260,213.586758513325,27.467886781123,good,moiseev,0
1237666407381729357,29.743304045376,-0.48980527402907,candidat,moiseev,0
1237667106892087380,131.786224767595,19.6310475953985,ring,moiseev,0
1237667322175553721,165.439528170827,25.4456682117492,ring,moiseev,0
1237667730198626365,131.923706102511,13.4191168062218,ring,moiseev,0
1237667735040163896,171.223557006464,21.8969046525717,candidat,moiseev,0
1237667736131534996,214.56689513685,20.5261882648319,good,moiseev,0.07543835
1237667736652021887,174.306902260375,23.2894245025849,ring,moiseev,0
1237667782319473011,236.446014069422,14.1037472380117,ring,moiseev,0
1237667783904919793,176.183423648351,23.1624895003104,strong,moiseev,0.04835159
1237667910604292327,212.339496624776,21.8006340650979,candidat,moiseev,0
1237667910605668523,215.605719509058,21.1432056602546,visual,moiseev,0
